Token,label,predicted
amenacen,FALSE,FALSE
inscrita,FALSE,FALSE
lunático,FALSE,FALSE
ropa,FALSE,FALSE
junio,FALSE,FALSE
principio,FALSE,FALSE
mostacilla,FALSE,FALSE
miraba,FALSE,FALSE
grabaciones,FALSE,FALSE
raíces,FALSE,FALSE
animal,FALSE,FALSE
organismo,FALSE,FALSE
diferentes,FALSE,FALSE
tortitas,FALSE,FALSE
foto,FALSE,FALSE
pagado,FALSE,FALSE
ciega,FALSE,FALSE
populismo,FALSE,FALSE
terminó,FALSE,FALSE
tipos,FALSE,FALSE
favorable,FALSE,FALSE
también,FALSE,FALSE
americanos,FALSE,FALSE
debates,FALSE,FALSE
donar,FALSE,FALSE
optado,FALSE,FALSE
casa,FALSE,FALSE
elaboró,FALSE,FALSE
libro,FALSE,FALSE
época,FALSE,FALSE
económica,FALSE,FALSE
distinguir,FALSE,FALSE
blog,TRUE,TRUE
edición,FALSE,FALSE
permanece,FALSE,FALSE
argentinas,FALSE,FALSE
nostalgia,FALSE,FALSE
caótica,FALSE,FALSE
terrazas,FALSE,FALSE
embrión,FALSE,FALSE
inclusión,FALSE,FALSE
iluminadoras,FALSE,FALSE
cuenta,FALSE,FALSE
beneficiosos,FALSE,FALSE
esparcir,FALSE,FALSE
aspecto,FALSE,FALSE
productoras,FALSE,FALSE
rechazó,FALSE,FALSE
adoptar,FALSE,FALSE
avergüenza,FALSE,FALSE
avergonzaría,FALSE,FALSE
acuerdo,FALSE,FALSE
esbozados,FALSE,FALSE
filial,FALSE,FALSE
vida,FALSE,FALSE
declinó,FALSE,FALSE
boludez,FALSE,FALSE
serlo,FALSE,FALSE
talleres,FALSE,FALSE
usadas,FALSE,FALSE
manipulaciones,FALSE,FALSE
feliz,FALSE,FALSE
físicos,FALSE,FALSE
motorhome,TRUE,FALSE
telefónica,FALSE,FALSE
servicios,FALSE,FALSE
nuevos,FALSE,FALSE
filtraciones,FALSE,FALSE
adoptarse,FALSE,FALSE
contenido,FALSE,FALSE
fiscales,FALSE,FALSE
benefactores,FALSE,FALSE
stress,TRUE,FALSE
manifestación,FALSE,FALSE
nucleares,FALSE,FALSE
obsesionado,FALSE,FALSE
denso,FALSE,FALSE
construido,FALSE,FALSE
encargadas,FALSE,FALSE
actual,FALSE,FALSE
proviene,FALSE,FALSE
empresario,FALSE,FALSE
use,FALSE,FALSE
criticado,FALSE,FALSE
actividades,FALSE,FALSE
informáticos,FALSE,FALSE
sentimientos,FALSE,FALSE
cuñadismo,FALSE,FALSE
cajeros,FALSE,FALSE
antigua,FALSE,FALSE
recomendable,FALSE,FALSE
atractivo,FALSE,FALSE
percepción,FALSE,FALSE
tipis,TRUE,FALSE
habla,FALSE,FALSE
piso,FALSE,FALSE
tap,TRUE,FALSE
años,FALSE,FALSE
afectaba,FALSE,FALSE
presta,FALSE,FALSE
difusión,FALSE,FALSE
increparlo,FALSE,FALSE
relaciones,FALSE,FALSE
arrastrando,FALSE,FALSE
manifiesto,FALSE,FALSE
smartphone,FALSE,FALSE
tratarán,FALSE,FALSE
2010,FALSE,FALSE
misteriosa,FALSE,FALSE
rutina,FALSE,FALSE
diálogo,FALSE,FALSE
compañía,FALSE,FALSE
artículos,FALSE,FALSE
recomendadas,FALSE,FALSE
trabajo,FALSE,FALSE
compromete,FALSE,FALSE
motivacional,FALSE,FALSE
largo,FALSE,FALSE
seleccionados,FALSE,FALSE
offshore,TRUE,FALSE
cobra,FALSE,FALSE
abierta,FALSE,FALSE
televisión,FALSE,FALSE
valija,FALSE,FALSE
colma,FALSE,FALSE
pago,FALSE,FALSE
giró,FALSE,FALSE
lleva,FALSE,FALSE
cortas,FALSE,FALSE
ducha,FALSE,FALSE
cuidar,FALSE,FALSE
formación,FALSE,FALSE
significa,FALSE,FALSE
king,TRUE,TRUE
útil,FALSE,FALSE
página,FALSE,FALSE
cocinar,FALSE,FALSE
cantidad,FALSE,FALSE
negativa,FALSE,FALSE
documental,FALSE,FALSE
estupidez,FALSE,FALSE
período,FALSE,FALSE
diplomáticos,FALSE,FALSE
extranjero,FALSE,FALSE
judíos,FALSE,FALSE
»,FALSE,FALSE
equivocadas,FALSE,FALSE
ponen,FALSE,FALSE
entrenamiento,FALSE,FALSE
comprar,FALSE,FALSE
desgracia,FALSE,FALSE
elocuencia,FALSE,FALSE
existentes,FALSE,FALSE
generar,FALSE,FALSE
marcado,FALSE,FALSE
pone,FALSE,FALSE
refería,FALSE,FALSE
retrato,FALSE,FALSE
gustó,FALSE,FALSE
dejaré,FALSE,FALSE
líderes,TRUE,FALSE
baja,FALSE,FALSE
determinó,FALSE,FALSE
adjunto,FALSE,FALSE
implicar,FALSE,FALSE
colegios,FALSE,FALSE
relata,FALSE,FALSE
lunes,FALSE,FALSE
viole,FALSE,FALSE
francesas,FALSE,FALSE
amigable,FALSE,FALSE
abundantes,FALSE,FALSE
justo,FALSE,FALSE
buscado,FALSE,FALSE
beduinos,FALSE,FALSE
señor,FALSE,FALSE
confiables,FALSE,FALSE
sueltos,FALSE,FALSE
removida,FALSE,FALSE
edad,FALSE,FALSE
vendehúmos,FALSE,FALSE
decoradas,FALSE,FALSE
apellido,FALSE,FALSE
fusilamiento,FALSE,FALSE
renombrar,FALSE,FALSE
competición,FALSE,FALSE
significados,FALSE,FALSE
gran,FALSE,FALSE
nacimiento,FALSE,FALSE
revelan,FALSE,FALSE
número,FALSE,FALSE
defender,FALSE,FALSE
capacitación,FALSE,FALSE
alcanza,FALSE,FALSE
sábado,FALSE,FALSE
comprendí,FALSE,FALSE
fascismo,FALSE,FALSE
boomerang,TRUE,TRUE
hablábamos,FALSE,FALSE
tomada,FALSE,FALSE
generación,FALSE,FALSE
analfabetas,FALSE,FALSE
medida,FALSE,FALSE
sushi,FALSE,FALSE
vuelve,FALSE,FALSE
elegante,FALSE,FALSE
visitantes,FALSE,FALSE
calle,FALSE,FALSE
quedarse,FALSE,FALSE
malintencionada,FALSE,FALSE
perfil,FALSE,FALSE
participaron,FALSE,FALSE
alien,FALSE,FALSE
joven,FALSE,FALSE
regresar,FALSE,FALSE
teléfono,FALSE,FALSE
consultados,FALSE,FALSE
extraer,FALSE,FALSE
objeto,FALSE,FALSE
opción,FALSE,FALSE
mencionan,FALSE,FALSE
comodidad,FALSE,FALSE
bandolera,FALSE,FALSE
continúa,FALSE,FALSE
llegó,FALSE,FALSE
guía,FALSE,FALSE
gente,FALSE,FALSE
figuraban,FALSE,FALSE
unió,FALSE,FALSE
defensor,FALSE,FALSE
crudo,FALSE,FALSE
sabido,FALSE,FALSE
brazo,FALSE,FALSE
tecnología,FALSE,FALSE
madera,FALSE,FALSE
fecha,FALSE,FALSE
olvido,FALSE,FALSE
poner,FALSE,FALSE
desanimar,FALSE,FALSE
telefonía,FALSE,FALSE
soñados,FALSE,FALSE
meses,FALSE,FALSE
delitos,FALSE,FALSE
compartir,FALSE,FALSE
computadora,FALSE,FALSE
traer,FALSE,FALSE
balance,FALSE,FALSE
conocieron,FALSE,FALSE
tribulaciones,FALSE,FALSE
zona,FALSE,FALSE
consecutivas,FALSE,FALSE
película,FALSE,FALSE
convivencia,FALSE,FALSE
atractivo,FALSE,FALSE
encuentros,FALSE,FALSE
indica,FALSE,FALSE
trago,FALSE,FALSE
diga,FALSE,FALSE
encontraron,FALSE,FALSE
1910,FALSE,FALSE
fuentes,FALSE,FALSE
odiaban,FALSE,FALSE
bromear,FALSE,FALSE
lana,FALSE,FALSE
costar,FALSE,FALSE
melamina,FALSE,FALSE
saludo,FALSE,FALSE
posible,FALSE,FALSE
creo,FALSE,FALSE
mudarse,FALSE,FALSE
escritura,FALSE,FALSE
sabes,FALSE,FALSE
unía,FALSE,FALSE
dedicadas,FALSE,FALSE
declaró,FALSE,FALSE
moral,FALSE,FALSE
escaleras,FALSE,FALSE
rasgos,FALSE,FALSE
pedido,FALSE,FALSE
conocimiento,FALSE,FALSE
cosa,FALSE,FALSE
canales,FALSE,FALSE
reserva,FALSE,FALSE
caso,FALSE,FALSE
viva,FALSE,FALSE
pedido,FALSE,FALSE
entran,FALSE,FALSE
contó,FALSE,FALSE
correctas,FALSE,FALSE
aplicaciones,FALSE,FALSE
deambular,FALSE,FALSE
quiera,FALSE,FALSE
dando,FALSE,FALSE
original,FALSE,FALSE
probable,FALSE,FALSE
centro,FALSE,FALSE
prende,FALSE,FALSE
shopping,TRUE,TRUE
mesías,FALSE,FALSE
grasa,FALSE,FALSE
aprendizajes,FALSE,FALSE
general,FALSE,FALSE
preocupa,FALSE,FALSE
dinero,FALSE,FALSE
genera,FALSE,FALSE
mirar,FALSE,FALSE
cierre,FALSE,FALSE
viven,FALSE,FALSE
cuentan,FALSE,FALSE
tornato,FALSE,FALSE
atraer,FALSE,FALSE
fuertes,FALSE,FALSE
cables,FALSE,FALSE
desarrollo,FALSE,FALSE
correspondientes,FALSE,FALSE
hecho,FALSE,FALSE
recuperar,FALSE,FALSE
ciudades,FALSE,FALSE
ver,FALSE,FALSE
departamento,FALSE,FALSE
abogados,FALSE,FALSE
Edito,FALSE,FALSE
menores,FALSE,FALSE
paso,FALSE,FALSE
redes,FALSE,FALSE
complejos,FALSE,FALSE
armar,FALSE,FALSE
fotos,FALSE,FALSE
necesitás,FALSE,FALSE
compartan,FALSE,FALSE
asombra,FALSE,FALSE
escándalos,FALSE,FALSE
queja,FALSE,FALSE
clima,FALSE,FALSE
apoya,FALSE,FALSE
fortunas,FALSE,FALSE
incorrecto,FALSE,FALSE
comidas,FALSE,FALSE
bandera,FALSE,FALSE
punta,FALSE,FALSE
venir,FALSE,FALSE
regulada,FALSE,FALSE
buffet,Other,FALSE
único,FALSE,FALSE
descuento,FALSE,FALSE
mundo,FALSE,FALSE
conoce,FALSE,FALSE
informativa,FALSE,FALSE
completo,FALSE,FALSE
selfies,TRUE,TRUE
extradición,FALSE,FALSE
definidas,FALSE,FALSE
marcas,FALSE,FALSE
connotaciones,FALSE,FALSE
edificio,FALSE,FALSE
pronunciación,FALSE,FALSE
pornografía,FALSE,FALSE
miembros,FALSE,FALSE
listado,FALSE,FALSE
usados,FALSE,FALSE
pleno,FALSE,FALSE
reconocidos,FALSE,FALSE
asesinos,FALSE,FALSE
auge,FALSE,FALSE
libritos,FALSE,FALSE
grupo,FALSE,FALSE
dicen,FALSE,FALSE
muestran,FALSE,FALSE
elecciones,FALSE,FALSE
escuela,FALSE,FALSE
retorno,FALSE,FALSE
selfi,TRUE,TRUE
argentinos,FALSE,FALSE
cautelosos,FALSE,FALSE
repletos,FALSE,FALSE
codirector,FALSE,FALSE
abre,FALSE,FALSE
espera,FALSE,FALSE
suerte,FALSE,FALSE
forma,FALSE,FALSE
mecánicas,FALSE,FALSE
especialistas,FALSE,FALSE
modificación,FALSE,FALSE
cultural,FALSE,FALSE
hora,FALSE,FALSE
financieros,FALSE,FALSE
ayudar,FALSE,FALSE
notable,FALSE,FALSE
pedirle,FALSE,FALSE
cowboys,TRUE,FALSE
convirtió,FALSE,FALSE
electoral,FALSE,FALSE
protocolo,FALSE,FALSE
optó,FALSE,FALSE
biblioteca,FALSE,FALSE
drástico,FALSE,FALSE
conecta,FALSE,FALSE
modelo,FALSE,FALSE
creativa,FALSE,FALSE
consultas,FALSE,FALSE
menor,FALSE,FALSE
comerciante,FALSE,FALSE
historia,FALSE,FALSE
autor,FALSE,FALSE
percheros,FALSE,FALSE
adora,FALSE,FALSE
campañas,FALSE,FALSE
regiones,FALSE,FALSE
comenten,FALSE,FALSE
certificar,FALSE,FALSE
vistas,FALSE,FALSE
hirió,FALSE,FALSE
habituales,FALSE,FALSE
actividad,FALSE,FALSE
bumerán,TRUE,FALSE
tazas,FALSE,FALSE
base,FALSE,FALSE
industria,FALSE,FALSE
enamorada,FALSE,FALSE
olvidado,FALSE,FALSE
explicarle,FALSE,FALSE
deriva,FALSE,FALSE
entrada,FALSE,FALSE
televisivo,FALSE,FALSE
caminar,FALSE,FALSE
hablarse,FALSE,FALSE
celebran,FALSE,FALSE
tendría,FALSE,FALSE
reclamos,FALSE,FALSE
iniciativas,FALSE,FALSE
saberes,FALSE,FALSE
youtubero,TRUE,TRUE
mira,FALSE,FALSE
emotiva,FALSE,FALSE
año,FALSE,FALSE
archivos,FALSE,FALSE
asistencia,FALSE,FALSE
permanencia,FALSE,FALSE
transformarse,FALSE,FALSE
cargando,FALSE,FALSE
bigote,FALSE,FALSE
cargo,FALSE,FALSE
críticas,FALSE,FALSE
encuentran,FALSE,FALSE
medida,FALSE,FALSE
duda,FALSE,FALSE
supresión,FALSE,FALSE
doquier,FALSE,FALSE
cambio,FALSE,FALSE
saben,FALSE,FALSE
promover,FALSE,FALSE
supieran,FALSE,FALSE
formal,FALSE,FALSE
tarjetas,FALSE,FALSE
acariciarlo,FALSE,FALSE
noches,FALSE,FALSE
masivo,FALSE,FALSE
participativa,FALSE,FALSE
gays,TRUE,FALSE
verano,FALSE,FALSE
australianas,FALSE,FALSE
prefieren,FALSE,FALSE
uso,FALSE,FALSE
coordinador,FALSE,FALSE
temas,FALSE,FALSE
desarrollados,FALSE,FALSE
quería,FALSE,FALSE
hacen,FALSE,FALSE
estrenó,FALSE,FALSE
friendly,TRUE,FALSE
entender,FALSE,FALSE
ven,FALSE,FALSE
ocurre,FALSE,FALSE
declararon,FALSE,FALSE
británicos,FALSE,FALSE
llegar,FALSE,FALSE
asesor,FALSE,FALSE
optan,FALSE,FALSE
tiraditos,FALSE,FALSE
distinta,FALSE,FALSE
cupones,Other,FALSE
extravagante,FALSE,FALSE
compañero,FALSE,FALSE
empleado,FALSE,FALSE
doble,FALSE,FALSE
atribuye,FALSE,FALSE
revolucionaria,FALSE,FALSE
principio,FALSE,FALSE
asegurarse,FALSE,FALSE
nuevo,FALSE,FALSE
nylon,FALSE,FALSE
mañana,FALSE,FALSE
lingüistas,FALSE,FALSE
trabajar,FALSE,FALSE
candidatas,FALSE,FALSE
lamentó,FALSE,FALSE
capacidad,FALSE,FALSE
computadoras,FALSE,FALSE
encantaría,FALSE,FALSE
abril,FALSE,FALSE
cambiado,FALSE,FALSE
menudo,FALSE,FALSE
algodón,FALSE,FALSE
lado,FALSE,FALSE
supuesto,FALSE,FALSE
figura,FALSE,FALSE
videos,FALSE,FALSE
deambulación,FALSE,FALSE
acompañados,FALSE,FALSE
detalle,FALSE,FALSE
sentirme,FALSE,FALSE
personas,FALSE,FALSE
cierta,FALSE,FALSE
distribuido,FALSE,FALSE
suman,FALSE,FALSE
saber,FALSE,FALSE
civiles,FALSE,FALSE
búmeran,TRUE,FALSE
lectores,FALSE,FALSE
sello,FALSE,FALSE
encontraban,FALSE,FALSE
presunto,FALSE,FALSE
pesadilla,FALSE,FALSE
work-life,TRUE,TRUE
motivan,FALSE,FALSE
definida,FALSE,FALSE
noche,FALSE,FALSE
usar,FALSE,FALSE
malos,FALSE,FALSE
razón,FALSE,FALSE
conservadores,FALSE,FALSE
autorizada,FALSE,FALSE
par,FALSE,FALSE
transformar,FALSE,FALSE
inglés,FALSE,FALSE
dan,FALSE,FALSE
corrupción,FALSE,FALSE
global,FALSE,FALSE
películas,FALSE,FALSE
estatura,FALSE,FALSE
alternativa,FALSE,FALSE
pesadas,FALSE,FALSE
fideos,FALSE,FALSE
partir,FALSE,FALSE
vino,FALSE,FALSE
luchas,FALSE,FALSE
resistirse,FALSE,FALSE
ojotas,FALSE,FALSE
deportividad,FALSE,FALSE
asociándose,FALSE,FALSE
ventajas,FALSE,FALSE
cosméticos,FALSE,FALSE
alternativas,FALSE,FALSE
mascota,FALSE,FALSE
ballerinas,FALSE,FALSE
total,FALSE,FALSE
redefine,FALSE,FALSE
autoridades,FALSE,FALSE
ideadas,FALSE,FALSE
pasearlo,FALSE,FALSE
dirección,FALSE,FALSE
asesinato,FALSE,FALSE
socios,FALSE,FALSE
cocina,FALSE,FALSE
publicar,FALSE,FALSE
entregar,FALSE,FALSE
gane,FALSE,FALSE
enfatiza,FALSE,FALSE
wikipedista,FALSE,FALSE
complicada,FALSE,FALSE
bosta,FALSE,FALSE
black,TRUE,TRUE
reclama,FALSE,FALSE
largo,FALSE,FALSE
entrevista,FALSE,FALSE
registro,FALSE,FALSE
telefónicas,FALSE,FALSE
defensa,FALSE,FALSE
hacían,FALSE,FALSE
venerado,FALSE,FALSE
acompaña,FALSE,FALSE
escenas,FALSE,FALSE
pasearse,FALSE,FALSE
concepto,FALSE,FALSE
gama,FALSE,FALSE
significado,FALSE,FALSE
cabos,FALSE,FALSE
ir,FALSE,FALSE
dificultades,FALSE,FALSE
adaptación,FALSE,FALSE
meter,FALSE,FALSE
vive,FALSE,FALSE
llama,FALSE,FALSE
tipea,FALSE,FALSE
haré,FALSE,FALSE
decirse,FALSE,FALSE
pasatiempo,FALSE,FALSE
fundamentar,FALSE,FALSE
harto,FALSE,FALSE
pertenencia,FALSE,FALSE
tenido,FALSE,FALSE
salmón,FALSE,FALSE
soportar,FALSE,FALSE
sorpaso,FALSE,FALSE
incitante,FALSE,FALSE
links,TRUE,TRUE
movimiento,FALSE,FALSE
geolocalización,FALSE,FALSE
culpa,FALSE,FALSE
esenciales,FALSE,FALSE
org,FALSE,FALSE
importancia,FALSE,FALSE
shopaholic,TRUE,FALSE
populares,FALSE,FALSE
dice,FALSE,FALSE
suburbio,FALSE,FALSE
ampliando,FALSE,FALSE
desnudas,FALSE,FALSE
primer,FALSE,FALSE
opina,FALSE,FALSE
célebres,FALSE,FALSE
revisaran,FALSE,FALSE
compañeros,FALSE,FALSE
book,TRUE,TRUE
calzados,FALSE,FALSE
escuchando,FALSE,FALSE
drama,FALSE,FALSE
fundación,FALSE,FALSE
muffins,TRUE,FALSE
2005,FALSE,FALSE
encargan,FALSE,FALSE
familiares,FALSE,FALSE
diccionario,FALSE,FALSE
asesora,FALSE,FALSE
tendencias,FALSE,FALSE
anécdota,FALSE,FALSE
libre,FALSE,FALSE
refugiado,FALSE,FALSE
vista,FALSE,FALSE
chino,FALSE,FALSE
disponible,FALSE,FALSE
leve,FALSE,FALSE
específica,FALSE,FALSE
desastre,FALSE,FALSE
2015,FALSE,FALSE
práctica,FALSE,FALSE
habitaciones,FALSE,FALSE
divididos,FALSE,FALSE
volver,FALSE,FALSE
piensen,FALSE,FALSE
cuna,FALSE,FALSE
turnarse,FALSE,FALSE
recibe,FALSE,FALSE
incipientes,FALSE,FALSE
2030,FALSE,FALSE
asegurar,FALSE,FALSE
leggings,TRUE,FALSE
1911,FALSE,FALSE
online,TRUE,FALSE
botinetas,FALSE,FALSE
importantes,FALSE,FALSE
existencia,FALSE,FALSE
atravesaba,FALSE,FALSE
advierte,FALSE,FALSE
preciso,FALSE,FALSE
detractores,FALSE,FALSE
